County,State,Cases,Deaths,Recovered
Autauga,Alabama,10,0,0
Baldwin,Alabama,23,0,0
Barbour,Alabama,0,0,0
Bibb,Alabama,3,0,0
Blount,Alabama,5,0,0
Bullock,Alabama,2,0,0
Butler,Alabama,1,0,0
Calhoun,Alabama,11,0,0
Chambers,Alabama,45,4,0
Cherokee,Alabama,2,0,0
Chilton,Alabama,13,0,0
Choctaw,Alabama,4,0,0
Clarke,Alabama,2,0,0
Clay,Alabama,3,0,0
Cleburne,Alabama,6,0,0
Coffee,Alabama,0,0,0
Colbert,Alabama,4,0,0
Conecuh,Alabama,1,0,0
Coosa,Alabama,4,0,0
Covington,Alabama,3,0,0
Crenshaw,Alabama,1,0,0
Cullman,Alabama,9,0,0
Dale,Alabama,1,0,0
Dallas,Alabama,3,0,0
DeKalb,Alabama,6,0,0
Elmore,Alabama,15,0,0
Escambia,Alabama,1,0,0
Etowah,Alabama,10,0,0
Fayette,Alabama,1,0,0
Franklin,Alabama,3,0,0
Geneva,Alabama,0,0,0
Greene,Alabama,4,0,0
Hale,Alabama,1,0,0
Henry,Alabama,0,0,0
Houston,Alabama,9,0,0
Jackson,Alabama,8,1,0
Jefferson,Alabama,305,1,0
Lamar,Alabama,1,0,0
Lauderdale,Alabama,12,1,0
Lawrence,Alabama,3,0,0
Lee,Alabama,83,2,0
Limestone,Alabama,23,0,0
Lowndes,Alabama,1,0,0
Macon,Alabama,2,0,0
Madison,Alabama,107,1,0
Marengo,Alabama,5,0,0
Marion,Alabama,11,0,0
Marshall,Alabama,6,0,0
Mobile,Alabama,57,2,0
Monroe,Alabama,3,0,0
Montgomery,Alabama,35,1,0
Morgan,Alabama,19,0,0
Perry,Alabama,0,0,0
Pickens,Alabama,4,0,0
Pike,Alabama,7,0,0
Randolph,Alabama,5,0,0
Russell,Alabama,2,0,0
St. Clair,Alabama,17,0,0
Shelby,Alabama,89,2,0
Sumter,Alabama,3,0,0
Talladega,Alabama,8,0,0
Tallapoosa,Alabama,14,1,0
Tuscaloosa,Alabama,30,0,0
Walker,Alabama,32,0,0
Washington,Alabama,3,1,0
