County,State,Cases,Deaths,Recovered
Autauga,Alabama,25,1,0
Baldwin,Alabama,102,0,0
Barbour,Alabama,14,0,0
Bibb,Alabama,24,0,0
Blount,Alabama,18,0,0
Bullock,Alabama,8,0,0
Butler,Alabama,11,0,0
Calhoun,Alabama,63,0,0
Chambers,Alabama,234,9,0
Cherokee,Alabama,11,0,0
Chilton,Alabama,37,0,0
Choctaw,Alabama,13,0,0
Clarke,Alabama,24,0,0
Clay,Alabama,14,0,0
Cleburne,Alabama,12,0,0
Coffee,Alabama,50,0,0
Colbert,Alabama,13,1,0
Conecuh,Alabama,8,0,0
Coosa,Alabama,20,1,0
Covington,Alabama,19,0,0
Crenshaw,Alabama,5,0,0
Cullman,Alabama,42,0,0
Dale,Alabama,14,0,0
Dallas,Alabama,21,2,0
DeKalb,Alabama,32,0,0
Elmore,Alabama,54,0,0
Escambia,Alabama,12,0,0
Etowah,Alabama,87,6,0
Fayette,Alabama,4,0,0
Franklin,Alabama,17,0,0
Geneva,Alabama,2,0,0
Greene,Alabama,22,0,0
Hale,Alabama,22,0,0
Henry,Alabama,15,0,0
Houston,Alabama,58,0,0
Jackson,Alabama,32,2,0
Jefferson,Alabama,634,14,0
Lamar,Alabama,7,0,0
Lauderdale,Alabama,22,1,0
Lawrence,Alabama,8,0,0
Lee,Alabama,294,8,0
Limestone,Alabama,38,0,0
Lowndes,Alabama,25,0,0
Macon,Alabama,24,2,0
Madison,Alabama,198,4,0
Marengo,Alabama,24,1,0
Marion,Alabama,60,3,0
Marshall,Alabama,117,1,0
Mobile,Alabama,594,12,0
Monroe,Alabama,7,0,0
Montgomery,Alabama,201,1,0
Morgan,Alabama,44,0,0
Perry,Alabama,8,0,0
Pickens,Alabama,30,0,0
Pike,Alabama,28,0,0
Randolph,Alabama,47,3,0
Russell,Alabama,35,0,0
St. Clair,Alabama,49,0,0
Shelby,Alabama,242,5,0
Sumter,Alabama,31,0,0
Talladega,Alabama,40,0,0
Tallapoosa,Alabama,160,4,0
Tuscaloosa,Alabama,132,0,0
Walker,Alabama,84,0,0
