County,State,Cases,Deaths,Recovered
Adams,Pennsylvania,64,1,0
Allegheny,Pennsylvania,904,26,0
Armstrong,Pennsylvania,29,1,0
Beaver,Pennsylvania,158,14,0
Bedford,Pennsylvania,9,1,0
Berks,Pennsylvania,1335,28,0
Blair,Pennsylvania,12,0,0
Bradford,Pennsylvania,19,0,0
Bucks,Pennsylvania,1300,51,0
Butler,Pennsylvania,150,5,0
Cambria,Pennsylvania,14,1,0
Cameron,Pennsylvania,1,0,0
Carbon,Pennsylvania,112,6,0
Centre,Pennsylvania,72,0,0
Chester,Pennsylvania,658,25,0
Clarion,Pennsylvania,16,0,0
Clearfield,Pennsylvania,9,0,0
Clinton,Pennsylvania,8,0,0
Columbia,Pennsylvania,131,3,0
Crawford,Pennsylvania,16,0,0
Cumberland,Pennsylvania,131,4,0
Dauphin,Pennsylvania,271,5,0
Delaware,Pennsylvania,1882,59,0
Elk,Pennsylvania,2,0,0
Erie,Pennsylvania,42,0,0
Fayette,Pennsylvania,58,3,0
Forest,Pennsylvania,5,0,0
Franklin,Pennsylvania,78,0,0
Fulton,Pennsylvania,2,0,0
Greene,Pennsylvania,23,0,0
Huntingdon,Pennsylvania,12,0,0
Indiana,Pennsylvania,43,1,0
Jefferson,Pennsylvania,2,0,0
Juniata,Pennsylvania,47,0,0
Lackawanna,Pennsylvania,527,26,0
Lancaster,Pennsylvania,914,29,0
Lawrence,Pennsylvania,55,5,0
Lebanon,Pennsylvania,349,2,0
Lehigh,Pennsylvania,1922,25,0
Luzerne,Pennsylvania,1567,27,0
Lycoming,Pennsylvania,30,0,0
McKean,Pennsylvania,4,0,0
Mercer,Pennsylvania,47,0,0
Mifflin,Pennsylvania,15,0,0
Monroe,Pennsylvania,872,28,0
Montgomery,Pennsylvania,2475,82,0
Montour,Pennsylvania,44,0,0
Northampton,Pennsylvania,1251,25,0
Northumberland,Pennsylvania,56,0,0
Perry,Pennsylvania,17,1,0
Philadelphia,Pennsylvania,7347,132,0
Pike,Pennsylvania,268,7,0
Potter,Pennsylvania,4,0,0
Schuylkill,Pennsylvania,212,3,0
Snyder,Pennsylvania,24,1,0
Somerset,Pennsylvania,14,0,0
Sullivan,Pennsylvania,1,0,0
Susquehanna,Pennsylvania,40,1,0
Tioga,Pennsylvania,13,1,0
Union,Pennsylvania,23,0,0
Venango,Pennsylvania,6,0,0
Warren,Pennsylvania,1,0,0
Washington,Pennsylvania,71,1,0
Wayne,Pennsylvania,75,2,0
Westmoreland,Pennsylvania,237,11,0
Wyoming,Pennsylvania,13,0,0
York,Pennsylvania,381,4,0
Abbeville,South Carolina,10,0,0
Aiken,South Carolina,60,3,0
Allendale,South Carolina,5,0,0
Anderson,South Carolina,114,5,0
Bamberg,South Carolina,7,0,0
Barnwell,South Carolina,5,0,0
Beaufort,South Carolina,205,7,0
Berkeley,South Carolina,101,3,0
Calhoun,South Carolina,5,1,0
Charleston,South Carolina,360,2,0
Cherokee,South Carolina,8,0,0
Chester,South Carolina,22,0,0
Chesterfield,South Carolina,28,0,0
Clarendon,South Carolina,90,6,0
Colleton,South Carolina,21,1,0
Darlington,South Carolina,44,0,0
Dillon,South Carolina,7,0,0
Dorchester,South Carolina,78,1,0
Edgefield,South Carolina,10,0,0
Fairfield,South Carolina,24,0,0
Florence,South Carolina,87,7,0
Georgetown,South Carolina,33,2,0
Greenville,South Carolina,400,11,0
