County,State,Cases,Deaths,Recovered
Autauga,Alabama,12,1,0
Baldwin,Alabama,49,0,0
Barbour,Alabama,3,0,0
Bibb,Alabama,9,0,0
Blount,Alabama,10,0,0
Bullock,Alabama,3,0,0
Butler,Alabama,3,0,0
Calhoun,Alabama,52,0,0
Chambers,Alabama,140,8,0
Cherokee,Alabama,7,0,0
Chilton,Alabama,22,0,0
Choctaw,Alabama,6,0,0
Clarke,Alabama,10,0,0
Clay,Alabama,11,0,0
Cleburne,Alabama,12,0,0
Coffee,Alabama,12,0,0
Colbert,Alabama,7,0,0
Conecuh,Alabama,4,0,0
Coosa,Alabama,9,0,0
Covington,Alabama,10,0,0
Crenshaw,Alabama,2,0,0
Cullman,Alabama,22,0,0
Dale,Alabama,4,0,0
Dallas,Alabama,7,0,0
DeKalb,Alabama,14,0,0
Elmore,Alabama,24,0,0
Escambia,Alabama,5,0,0
Etowah,Alabama,47,4,0
Fayette,Alabama,1,0,0
Franklin,Alabama,7,0,0
Geneva,Alabama,1,0,0
Greene,Alabama,12,0,0
Hale,Alabama,7,0,0
Henry,Alabama,5,0,0
Houston,Alabama,27,0,0
Jackson,Alabama,20,1,0
Jefferson,Alabama,492,6,0
Lamar,Alabama,6,0,0
Lauderdale,Alabama,19,1,0
Lawrence,Alabama,8,0,0
Lee,Alabama,190,4,0
Limestone,Alabama,32,0,0
Lowndes,Alabama,11,0,0
Macon,Alabama,6,1,0
Madison,Alabama,165,2,0
Marengo,Alabama,14,1,0
Marion,Alabama,23,2,0
Marshall,Alabama,45,1,0
Mobile,Alabama,249,7,0
Monroe,Alabama,6,0,0
Montgomery,Alabama,81,1,0
Morgan,Alabama,34,0,0
Perry,Alabama,0,0,0
Pickens,Alabama,15,0,0
Pike,Alabama,16,0,0
Randolph,Alabama,15,1,0
Russell,Alabama,14,0,0
Shelby,Alabama,165,5,0
St. Clair,Alabama,35,0,0
Sumter,Alabama,17,0,0
Talladega,Alabama,26,0,0
Tallapoosa,Alabama,43,1,0
Tuscaloosa,Alabama,85,0,0
Walker,Alabama,68,0,0
Washington,Alabama,7,1,0
Wilcox,Alabama,13,0,0
Winston,Alabama,3,0,0
Anchorage Municipality,Alaska,103,0,0
Bethel Census Area,Alaska,1,0,0
Fairbanks North Star Borough,Alaska,71,0,0
Juneau City and Borough,Alaska,14,0,0
Kenai Peninsula Borough,Alaska,13,0,0
Ketchikan Gateway Borough,Alaska,14,0,0
Matanuska-Susitna Borough,Alaska,5,0,0
Petersburg Borough,Alaska,2,0,0
Southeast Fairbanks Census Area,Alaska,1,0,0
Unknown,Alaska,1,0,0
Yukon-Koyukuk Census Area,Alaska,1,0,0
Yuma,Arizona,5,0,0
Yavapai,Arizona,12,0,0
Santa Cruz,Arizona,2,0,0
Pinal,Arizona,51,0,0
Pima,Arizona,147,0,0
Navajo,Arizona,60,0,0
Mohave,Arizona,6,0,0
Maricopa,Arizona,546,0,0
