County,State,Cases,Deaths,Recovered
Autauga,Alabama,26,1,0
Baldwin,Alabama,103,0,0
Barbour,Alabama,15,0,0
Bibb,Alabama,23,0,0
Blount,Alabama,20,0,0
Bullock,Alabama,8,0,0
Butler,Alabama,16,0,0
Calhoun,Alabama,63,1,0
Chambers,Alabama,236,11,0
Cherokee,Alabama,12,0,0
Chilton,Alabama,37,0,0
Choctaw,Alabama,13,0,0
Clarke,Alabama,24,0,0
Clay,Alabama,14,0,0
Cleburne,Alabama,12,0,0
Coffee,Alabama,50,0,0
Colbert,Alabama,13,1,0
Conecuh,Alabama,8,0,0
Coosa,Alabama,20,1,0
Covington,Alabama,19,0,0
Crenshaw,Alabama,5,0,0
Cullman,Alabama,53,0,0
Dale,Alabama,14,0,0
Dallas,Alabama,21,2,0
DeKalb,Alabama,34,1,0
Elmore,Alabama,54,0,0
Escambia,Alabama,14,0,0
Etowah,Alabama,87,7,0
Fayette,Alabama,4,0,0
Franklin,Alabama,18,0,0
Geneva,Alabama,2,0,0
Greene,Alabama,24,0,0
Hale,Alabama,22,0,0
Henry,Alabama,16,0,0
Houston,Alabama,64,1,0
Jackson,Alabama,32,2,0
Jefferson,Alabama,652,14,0
Lamar,Alabama,7,0,0
Lauderdale,Alabama,23,2,0
Lawrence,Alabama,8,0,0
Lee,Alabama,301,10,0
Limestone,Alabama,40,0,0
Lowndes,Alabama,25,0,0
Macon,Alabama,24,2,0
Madison,Alabama,216,4,0
Marengo,Alabama,24,1,0
Marion,Alabama,62,3,0
Marshall,Alabama,122,1,0
Mobile,Alabama,623,16,0
Monroe,Alabama,7,0,0
Montgomery,Alabama,207,1,0
Morgan,Alabama,46,0,0
Perry,Alabama,9,0,0
Pickens,Alabama,32,0,0
Pike,Alabama,29,0,0
Randolph,Alabama,51,3,0
Russell,Alabama,35,0,0
St. Clair,Alabama,52,0,0
Shelby,Alabama,248,5,0
Sumter,Alabama,33,0,0
Talladega,Alabama,42,0,0
Tallapoosa,Alabama,159,5,0
Tuscaloosa,Alabama,152,0,0
Walker,Alabama,83,0,0
Washington,Alabama,14,1,0
Wilcox,Alabama,40,0,0
Winston,Alabama,9,0,0
Unknown or Out of State,Alabama,0,0,0
Anchorage Municipality,Alaska,150,0,0
Bethel Census Area,Alaska,1,0,0
Fairbanks North Star Borough,Alaska,79,0,0
Juneau City and Borough,Alaska,24,0,0
Kenai Peninsula Borough,Alaska,17,0,0
Ketchikan Gateway Borough,Alaska,15,0,0
Kodiak Island Borough,Alaska,1,0,0
Matanuska-Susitna Borough,Alaska,15,0,0
Nome Census Area,Alaska,1,0,0
Petersburg Borough,Alaska,2,0,0
Prince of Wales-Hyder Census Area,Alaska,2,0,0
