County,State,Cases,Deaths,Recovered
Autauga,Alabama,7,0,0
Baldwin,Alabama,18,0,0
Barbour,Alabama,0,0,0
Bibb,Alabama,2,0,0
Blount,Alabama,5,0,0
Bullock,Alabama,3,0,0
Butler,Alabama,1,0,0
Calhoun,Alabama,9,0,0
Chambers,Alabama,36,1,0
Cherokee,Alabama,2,0,0
Chilton,Alabama,10,0,0
Choctaw,Alabama,2,0,0
Clarke,Alabama,0,0,0
Clay,Alabama,2,0,0
Cleburne,Alabama,5,0,0
Coffee,Alabama,0,0,0
Colbert,Alabama,4,0,0
Conecuh,Alabama,0,0,0
Coosa,Alabama,4,0,0
Covington,Alabama,2,0,0
Crenshaw,Alabama,1,0,0
Cullman,Alabama,8,0,0
Dale,Alabama,0,0,0
Dallas,Alabama,2,0,0
DeKalb,Alabama,4,0,0
Elmore,Alabama,13,0,0
Escambia,Alabama,1,0,0
Etowah,Alabama,6,0,0
Fayette,Alabama,1,0,0
Franklin,Alabama,3,0,0
Geneva,Alabama,0,0,0
Greene,Alabama,3,0,0
Hale,Alabama,1,0,0
Henry,Alabama,0,0,0
Houston,Alabama,9,0,0
Jackson,Alabama,7,1,0
Jefferson,Alabama,257,0,0
Lamar,Alabama,1,0,0
Lauderdale,Alabama,12,1,0
Lawrence,Alabama,3,0,0
Lee,Alabama,74,0,0
Limestone,Alabama,20,0,0
Lowndes,Alabama,1,0,0
Macon,Alabama,1,0,0
Madison,Alabama,96,1,0
Marengo,Alabama,4,0,0
Marion,Alabama,9,0,0
Marshall,Alabama,7,0,0
Mobile,Alabama,45,1,0
Monroe,Alabama,1,0,0
Montgomery,Alabama,29,0,0
Morgan,Alabama,19,0,0
Perry,Alabama,0,0,0
Pickens,Alabama,3,0,0
Pike,Alabama,4,0,0
Randolph,Alabama,2,0,0
Russell,Alabama,1,0,0
St. Clair,Alabama,14,0,0
Shelby,Alabama,88,0,0
Sumter,Alabama,1,0,0
Talladega,Alabama,6,0,0
Tallapoosa,Alabama,12,1,0
Tuscaloosa,Alabama,28,0,0
Walker,Alabama,31,0,0
Washington,Alabama,3,0,0
Wilcox,Alabama,2,0,0
Winston,Alabama,2,0,0
Municipality of Anchorage,Alaska,59,0,0
Anchorage (including JBER),Alaska,53,0,0
Eagle River/Chugiak,Alaska,5,0,0
Girdwood,Alaska,1,0,0
Gulf Coast,Alaska,7,0,0
Homer,Alaska,2,0,0
Seward,Alaska,1,0,0
Soldotna,Alaska,2,0,0
Sterling,Alaska,2,0,0
Interior,Alaska,28,0,0
Fairbanks,Alaska,20,0,0
North Pole,Alaska,8,0,0
Mat-Su,Alaska,2,0,0
Palmer,Alaska,2,0,0
Northern,Alaska,0,0,0
Southeast,Alaska,18,0,0
Juneau,Alaska,5,0,0
Ketchikan,Alaska,13,0,0
Southwest,Alaska,0,0,0
Missing County Info,Arkansas,6,0,0
Howard,Arkansas,3,0,0
Pulaski,Arkansas,98,3,3
Lonoke,Arkansas,4,0,0
Prairie,Arkansas,0,0,0
Desha,Arkansas,2,0,0
Phillips,Arkansas,0,0,0
Searcy,Arkansas,4,0,0
Independence,Arkansas,3,0,0
Jackson,Arkansas,0,0,0
Mississippi,Arkansas,0,0,0
Greene,Arkansas,4,0,1
Clay,Arkansas,0,0,0
Randolph,Arkansas,2,0,0
Lawrence,Arkansas,1,0,0
Baxter,Arkansas,2,0,0
Marion,Arkansas,0,0,0
Perry,Arkansas,1,0,0
Jefferson,Arkansas,33,0,3
Washington,Arkansas,18,0,4
Crawford,Arkansas,2,0,0
Little River,Arkansas,0,0,0
Miller,Arkansas,0,0,0
Lafayette,Arkansas,0,0,0
Columbia,Arkansas,1,0,0
Union,Arkansas,8,0,1
Ashley,Arkansas,1,0,0
Chicot,Arkansas,2,0,0
Benton,Arkansas,38,0,2
Carroll,Arkansas,0,0,0
Madison,Arkansas,0,0,0
Sebastian,Arkansas,6,0,0
Polk,Arkansas,2,0,0
Sevier,Arkansas,2,0,1
Garland,Arkansas,31,0,1
Saline,Arkansas,8,0,0
Franklin,Arkansas,0,0,0
Scott,Arkansas,0,0,0
Logan,Arkansas,0,0,0
Yell,Arkansas,0,0,0
Montgomery,Arkansas,0,0,0
Pike,Arkansas,2,0,0
Hempstead,Arkansas,1,0,0
Drew,Arkansas,2,0,0
Bradley,Arkansas,4,0,0
Calhoun,Arkansas,0,0,0
Ouachita,Arkansas,0,0,0
Nevada,Arkansas,1,0,0
Clark,Arkansas,24,0,2
