County,State,Cases,Deaths,Recovered
Autauga,Alabama,7,0,0
Baldwin,Alabama,19,0,0
Barbour,Alabama,0,0,0
Bibb,Alabama,3,0,0
Blount,Alabama,5,0,0
Bullock,Alabama,3,0,0
Butler,Alabama,1,0,0
Calhoun,Alabama,9,0,0
Chambers,Alabama,36,3,0
Cherokee,Alabama,2,0,0
Chilton,Alabama,11,0,0
Choctaw,Alabama,3,0,0
Clarke,Alabama,0,0,0
Clay,Alabama,2,0,0
Cleburne,Alabama,5,0,0
Coffee,Alabama,0,0,0
Colbert,Alabama,4,0,0
Conecuh,Alabama,0,0,0
Coosa,Alabama,4,0,0
Covington,Alabama,2,0,0
Crenshaw,Alabama,1,0,0
Cullman,Alabama,8,0,0
Dale,Alabama,0,0,0
Dallas,Alabama,2,0,0
DeKalb,Alabama,4,0,0
Elmore,Alabama,12,0,0
Escambia,Alabama,1,0,0
Etowah,Alabama,8,0,0
Fayette,Alabama,1,0,0
Franklin,Alabama,3,0,0
Geneva,Alabama,0,0,0
Greene,Alabama,3,0,0
Hale,Alabama,1,0,0
Henry,Alabama,0,0,0
Houston,Alabama,8,0,0
Jackson,Alabama,8,1,0
Jefferson,Alabama,282,0,0
Lamar,Alabama,1,0,0
Lauderdale,Alabama,12,1,0
Lawrence,Alabama,3,0,0
Lee,Alabama,75,2,0
Limestone,Alabama,22,0,0
Lowndes,Alabama,1,0,0
Macon,Alabama,1,0,0
Madison,Alabama,100,1,0
Marengo,Alabama,4,0,0
Marion,Alabama,9,0,0
Marshall,Alabama,6,0,0
Mobile,Alabama,53,1,0
Monroe,Alabama,1,0,0
Montgomery,Alabama,31,1,0
Morgan,Alabama,20,0,0
Perry,Alabama,0,0,0
Pickens,Alabama,4,0,0
Pike,Alabama,4,0,0
Randolph,Alabama,2,0,0
Russell,Alabama,1,0,0
St. Clair,Alabama,15,0,0
Shelby,Alabama,86,2,0
Sumter,Alabama,1,0,0
Talladega,Alabama,7,0,0
Tallapoosa,Alabama,13,1,0
Tuscaloosa,Alabama,29,0,0
Walker,Alabama,32,0,0
Washington,Alabama,3,0,0
Wilcox,Alabama,3,0,0
Winston,Alabama,2,0,0
Municipality of Anchorage,Alaska,61,0,0
Anchorage (including JBER),Alaska,55,0,0
Eagle River/Chugiak,Alaska,5,0,0
Girdwood,Alaska,1,0,0
Gulf Coast,Alaska,7,0,0
Homer,Alaska,2,0,0
Seward,Alaska,1,0,0
Soldotna,Alaska,2,0,0
Sterling,Alaska,2,0,0
Interior,Alaska,30,0,0
Fairbanks,Alaska,22,0,0
North Pole,Alaska,8,0,0
Mat-Su,Alaska,3,0,0
Palmer,Alaska,3,0,0
Northern,Alaska,0,0,0
Southeast,Alaska,18,0,0
Juneau,Alaska,5,0,0
Ketchikan,Alaska,13,0,0
Southwest,Alaska,0,0,0
Missing County Info,Arkansas,7,1,0
Howard,Arkansas,4,0,0
Pulaski,Arkansas,103,3,4
Lonoke,Arkansas,6,0,0
Prairie,Arkansas,0,0,0
Desha,Arkansas,2,0,0
Phillips,Arkansas,0,0,0
Searcy,Arkansas,4,0,0
Independence,Arkansas,4,0,0
Jackson,Arkansas,0,0,0
Mississippi,Arkansas,0,0,0
Greene,Arkansas,4,0,1
Clay,Arkansas,0,0,0
Randolph,Arkansas,3,0,0
Lawrence,Arkansas,1,0,0
Baxter,Arkansas,3,0,0
Marion,Arkansas,0,0,0
Perry,Arkansas,2,0,0
Jefferson,Arkansas,40,0,3
Washington,Arkansas,22,0,4
Crawford,Arkansas,3,0,0
Little River,Arkansas,0,0,0
Miller,Arkansas,1,0,0
Lafayette,Arkansas,0,0,0
Columbia,Arkansas,2,0,1
Union,Arkansas,8,0,2
Ashley,Arkansas,1,0,0
Chicot,Arkansas,2,0,0
Benton,Arkansas,38,0,2
Carroll,Arkansas,0,0,0
Madison,Arkansas,0,0,0
Sebastian,Arkansas,8,0,0
Polk,Arkansas,4,0,0
Sevier,Arkansas,2,0,1
Garland,Arkansas,31,0,2
Saline,Arkansas,11,0,1
Franklin,Arkansas,0,0,0
Scott,Arkansas,1,0,0
Logan,Arkansas,0,0,0
Yell,Arkansas,0,0,0
Montgomery,Arkansas,0,0,0
Pike,Arkansas,2,0,0
Hempstead,Arkansas,1,0,0
Drew,Arkansas,2,0,0
Bradley,Arkansas,4,0,0
Calhoun,Arkansas,0,0,0
Ouachita,Arkansas,0,0,0
Nevada,Arkansas,1,0,0
Clark,Arkansas,24,0,3
Dallas,Arkansas,0,0,0
Cleveland,Arkansas,5,0,0
Lincoln,Arkansas,6,0,0
Arkansas,Arkansas,1,0,0
Grant,Arkansas,3,0,0
Monroe,Arkansas,0,0,0
Lee,Arkansas,0,0,0
Hot Spring,Arkansas,4,0,0
St. Francis,Arkansas,2,0,0
Crittenden,Arkansas,29,0,2
Cross,Arkansas,1,0,0
Woodruff,Arkansas,1,0,0
White,Arkansas,11,0,1
Faulkner,Arkansas,36,0,6
Conway,Arkansas,2,1,0
Newton,Arkansas,1,0,0
Pope,Arkansas,6,0,0
Johnson,Arkansas,3,0,0
Van Buren,Arkansas,19,1,1
Cleburne,Arkansas,61,2,5
Poinsett,Arkansas,5,0,1
Craighead,Arkansas,10,0,1
Sharp,Arkansas,0,0,0
Izard,Arkansas,0,0,0
Fulton,Arkansas,0,0,0
Stone,Arkansas,5,0,0
Boone,Arkansas,2,0,0
Andover,Connecticut,0,0,0
Griswold,Connecticut,1,0,0
Prospect,Connecticut,4,0,0
Ansonia,Connecticut,17,0,0
Groton,Connecticut,2,0,0
Putnam,Connecticut,0,0,0
Ashford,Connecticut,1,0,0
Guilford,Connecticut,5,0,0
Redding,Connecticut,16,0,0
Avon,Connecticut,10,0,0
Haddam,Connecticut,1,0,0
