County,State,Cases,Deaths,Recovered
Autauga,Alabama,6,0,0
Baldwin,Alabama,5,0,0
Barbour,Alabama,0,0,0
Bibb,Alabama,0,0,0
Blount,Alabama,2,0,0
Bullock,Alabama,2,0,0
Butler,Alabama,1,0,0
Calhoun,Alabama,2,0,0
Chambers,Alabama,13,0,0
Cherokee,Alabama,1,0,0
Chilton,Alabama,4,0,0
Choctaw,Alabama,1,0,0
Clarke,Alabama,0,0,0
Clay,Alabama,1,0,0
Cleburne,Alabama,1,0,0
Coffee,Alabama,0,0,0
Colbert,Alabama,1,0,0
Conecuh,Alabama,0,0,0
Coosa,Alabama,2,0,0
Covington,Alabama,0,0,0
Crenshaw,Alabama,1,0,0
Cullman,Alabama,6,0,0
Dale,Alabama,0,0,0
Dallas,Alabama,2,0,0
DeKalb,Alabama,1,0,0
Elmore,Alabama,10,0,0
Escambia,Alabama,0,0,0
Etowah,Alabama,4,0,0
Fayette,Alabama,0,0,0
Franklin,Alabama,3,0,0
Geneva,Alabama,0,0,0
Greene,Alabama,0,0,0
Hale,Alabama,0,0,0
Henry,Alabama,0,0,0
Houston,Alabama,3,0,0
Jackson,Alabama,4,1,0
Jefferson,Alabama,162,0,0
Lamar,Alabama,1,0,0
Lauderdale,Alabama,9,0,0
Lawrence,Alabama,3,0,0
Lee,Alabama,47,0,0
Limestone,Alabama,13,0,0
Lowndes,Alabama,1,0,0
Macon,Alabama,0,0,0
Madison,Alabama,43,0,0
Marengo,Alabama,1,0,0
Marion,Alabama,7,0,0
Marshall,Alabama,3,0,0
Mobile,Alabama,19,0,0
Monroe,Alabama,0,0,0
Montgomery,Alabama,17,0,0
Morgan,Alabama,9,0,0
Perry,Alabama,0,0,0
Pickens,Alabama,1,0,0
Pike,Alabama,2,0,0
Randolph,Alabama,0,0,0
Russell,Alabama,1,0,0
St. Clair,Alabama,6,0,0
Shelby,Alabama,53,0,0
Sumter,Alabama,0,0,0
Talladega,Alabama,4,0,0
Tallapoosa,Alabama,4,0,0
Tuscaloosa,Alabama,20,0,0
Walker,Alabama,18,0,0
Washington,Alabama,2,0,0
Wilcox,Alabama,2,0,0
Winston,Alabama,0,0,0
Municipality of Anchorage,Alaska,28,0,0
Anchorage (including JBER),Alaska,25,0,0
Eagle River/ Chugiak,Alaska,3,0,0
Gulf Coast,Alaska,5,0,0
Homer,Alaska,1,0,0
Seward,Alaska,1,0,0
Sterling,Alaska,2,0,0
Soldotna,Alaska,1,0,0
Interior,Alaska,11,0,0
Fairbanks,Alaska,8,0,0
North Pole,Alaska,3,0,0
Mat-Su,Alaska,2,0,0
Palmer,Alaska,2,0,0
Northern,Alaska,0,0,0
Southeast,Alaska,13,0,0
Juneau,Alaska,2,0,0
Ketchikan,Alaska,11,0,0
Southwest,Alaska,0,0,0
Missing County Info,Arkansas,4,0,1
Howard,Arkansas,2,0,0
Pulaski,Arkansas,83,1,2
Lonoke,Arkansas,4,0,0
Prairie,Arkansas,0,0,0
Desha,Arkansas,2,0,0
Phillips,Arkansas,0,0,0
Searcy,Arkansas,4,0,0
Independence,Arkansas,3,0,0
Jackson,Arkansas,0,0,0
Mississippi,Arkansas,0,0,0
Greene,Arkansas,3,0,1
Clay,Arkansas,0,0,0
Randolph,Arkansas,1,0,0
Lawrence,Arkansas,1,0,0
Baxter,Arkansas,0,0,0
Marion,Arkansas,0,0,0
Perry,Arkansas,0,0,0
Jefferson,Arkansas,23,0,1
Washington,Arkansas,12,0,2
Crawford,Arkansas,1,0,0
Little River,Arkansas,0,0,0
Miller,Arkansas,0,0,0
Lafayette,Arkansas,0,0,0
Columbia,Arkansas,1,0,0
Union,Arkansas,2,0,0
