County,State,Cases,Deaths,Recovered
Autauga,Alabama,6,0,0
Baldwin,Alabama,15,0,0
Barbour,Alabama,0,0,0
Bibb,Alabama,0,0,0
Blount,Alabama,5,0,0
Bullock,Alabama,3,0,0
Butler,Alabama,1,0,0
Calhoun,Alabama,3,0,0
Chambers,Alabama,27,1,0
Cherokee,Alabama,2,0,0
Chilton,Alabama,7,0,0
Choctaw,Alabama,1,0,0
Clarke,Alabama,0,0,0
Clay,Alabama,2,0,0
Cleburne,Alabama,5,0,0
Coffee,Alabama,0,0,0
Colbert,Alabama,2,0,0
Conecuh,Alabama,0,0,0
Coosa,Alabama,3,0,0
Covington,Alabama,2,0,0
Crenshaw,Alabama,1,0,0
Cullman,Alabama,7,0,0
Dale,Alabama,0,0,0
Dallas,Alabama,2,0,0
DeKalb,Alabama,4,0,0
Elmore,Alabama,13,0,0
Escambia,Alabama,1,0,0
Etowah,Alabama,6,0,0
Fayette,Alabama,0,0,0
Franklin,Alabama,3,0,0
Geneva,Alabama,0,0,0
Greene,Alabama,3,0,0
Hale,Alabama,0,0,0
Henry,Alabama,0,0,0
Houston,Alabama,7,0,0
Jackson,Alabama,5,1,0
Jefferson,Alabama,246,0,0
Lamar,Alabama,1,0,0
Lauderdale,Alabama,12,1,0
Lawrence,Alabama,3,0,0
Lee,Alabama,58,0,0
Limestone,Alabama,16,0,0
Lowndes,Alabama,1,0,0
Macon,Alabama,1,0,0
Madison,Alabama,79,1,0
Marengo,Alabama,5,0,0
Marion,Alabama,10,0,0
Marshall,Alabama,5,0,0
Mobile,Alabama,41,0,0
Monroe,Alabama,1,0,0
Montgomery,Alabama,21,0,0
Morgan,Alabama,17,0,0
Perry,Alabama,0,0,0
Pickens,Alabama,2,0,0
Pike,Alabama,4,0,0
Randolph,Alabama,2,0,0
Russell,Alabama,1,0,0
St. Clair,Alabama,13,0,0
Shelby,Alabama,79,0,0
Sumter,Alabama,0,0,0
Talladega,Alabama,4,0,0
Tallapoosa,Alabama,8,0,0
Tuscaloosa,Alabama,23,0,0
Walker,Alabama,30,0,0
Washington,Alabama,4,0,0
Wilcox,Alabama,2,0,0
Winston,Alabama,2,0,0
Municipality of Anchorage,Alaska,54,0,0
Anchorage (including JBER),Alaska,49,0,0
Eagle River/Chugiak,Alaska,4,0,0
Girdwood,Alaska,1,0,0
Gulf Coast,Alaska,7,0,0
Homer,Alaska,2,0,0
