County,State,Cases,Deaths,Recovered
Autauga,Alabama,12,0,0
Baldwin,Alabama,38,0,0
Barbour,Alabama,3,0,0
Bibb,Alabama,7,0,0
Blount,Alabama,10,0,0
Bullock,Alabama,2,0,0
Butler,Alabama,1,0,0
Calhoun,Alabama,38,0,0
Chambers,Alabama,96,5,0
Cherokee,Alabama,6,0,0
Chilton,Alabama,20,0,0
Choctaw,Alabama,6,0,0
Clarke,Alabama,9,0,0
Clay,Alabama,9,0,0
Cleburne,Alabama,9,0,0
Coffee,Alabama,8,0,0
Colbert,Alabama,7,0,0
Conecuh,Alabama,2,0,0
Coosa,Alabama,8,0,0
Covington,Alabama,5,0,0
Crenshaw,Alabama,2,0,0
Cullman,Alabama,20,0,0
Dale,Alabama,4,0,0
Dallas,Alabama,7,0,0
DeKalb,Alabama,14,0,0
Elmore,Alabama,20,0,0
Escambia,Alabama,3,0,0
Etowah,Alabama,42,2,0
Fayette,Alabama,1,0,0
Franklin,Alabama,7,0,0
Geneva,Alabama,0,0,0
Greene,Alabama,8,0,0
Hale,Alabama,5,0,0
Henry,Alabama,4,0,0
Houston,Alabama,24,0,0
Jackson,Alabama,17,1,0
Jefferson,Alabama,438,5,0
Lamar,Alabama,5,0,0
Lauderdale,Alabama,16,1,0
Lawrence,Alabama,8,0,0
Lee,Alabama,118,2,0
Limestone,Alabama,33,0,0
Lowndes,Alabama,6,0,0
Macon,Alabama,5,0,0
Madison,Alabama,141,1,0
Marengo,Alabama,13,0,0
Marion,Alabama,19,1,0
Marshall,Alabama,34,0,0
Mobile,Alabama,148,5,0
Monroe,Alabama,5,0,0
Montgomery,Alabama,71,1,0
Morgan,Alabama,30,0,0
Perry,Alabama,1,0,0
Pickens,Alabama,13,0,0
Pike,Alabama,14,0,0
Randolph,Alabama,12,1,0
Russell,Alabama,10,0,0
Shelby,Alabama,150,5,0
St. Clair,Alabama,31,0,0
Sumter,Alabama,10,0,0
Talladega,Alabama,20,0,0
Tallapoosa,Alabama,31,1,0
Tuscaloosa,Alabama,74,0,0
Walker,Alabama,54,0,0
Washington,Alabama,6,1,0
Wilcox,Alabama,13,0,0
Winston,Alabama,3,0,0
Anchorage Municipality,Alaska,88,0,0
Fairbanks North Star Borough,Alaska,54,0,0
Juneau City and Borough,Alaska,14,0,0
Kenai Peninsula Borough,Alaska,13,0,0
Ketchikan Gateway Borough,Alaska,14,0,0
Matanuska-Susitna Borough,Alaska,4,0,0
